,name,1dx,2dx
234,钙,-0.42627037,-0.49223027
235,三叠纪,-0.07886587,-0.5517139
236,杏仁,-0.48021278,-0.3160396
237,胶结,-0.5665019,-0.57405096
238,流纹岩,-0.7214326,-0.35612252
239,钾长石,-0.5213031,-0.66744524
240,海拔,-0.28154105,-0.49460745
241,乌兰,-0.19652453,-0.6174659
242,柱状,-0.35660225,-0.52142555
243,虫,-0.40219942,-0.5366345
244,笛,-0.20857997,-0.49275765
245,角岩,-0.3660624,-0.46707404
246,印支,-0.21199962,-0.5649998
247,侏罗世,-0.20418529,-0.5056326
248,测,-0.116905175,-0.6167866
249,本次,-0.096283324,-0.55965006
250,石,-0.45360473,-0.4706561
251,紫红色,-0.89168,-0.41751048
252,腕足,-0.26810795,-0.655773
253,黄铁矿,-0.4732323,-0.7130659
254,较为,-0.24089785,-0.4683711
255,岩浆岩,-0.08189096,-0.38040462
256,阳起石,-0.43368787,-0.5995201
257,当江,0.08495182,-0.6648177
258,凝灰,-0.8419819,-0.34295782
259,角砾,-0.5683448,-0.3342805
260,巴颜喀拉山,-0.2132686,-0.4672291
261,一致,-0.14075202,-0.45629412
262,条件,-0.2621983,-0.6184206
263,⑶,-0.23972361,-0.41163787
264,期次,-0.23647738,-0.42821366
265,附近,-0.16171288,-0.54150194
266,晚期,-0.2862827,-0.6022031
267,钙质,-0.7845118,-0.31964627
268,方向,-0.29404652,-0.6241671
269,变余,-0.523851,-0.41413882
270,沱沱河,-0.33127102,-0.49333748
271,基性岩,-0.4071299,-0.5505522
272,MgO,-0.27463746,-0.6420622
273,治多县,-0.016900355,-0.66568905
274,青藏高原,-0.21933794,-0.6445639
275,剪切,-0.18832849,-0.44730082
276,Al2O3,-0.1656721,-0.58492714
277,说明,-0.24446706,-0.5016861
278,层序,-0.40229023,-0.39060006
279,更新世,-0.28129968,-0.63664514
280,热液,-0.3186142,-0.56232923
281,辉绿岩,-0.37039453,-0.5227736
282,波里,-0.2850222,-0.65345967
283,33,-0.3769599,-0.8261481
284,15,-0.31134272,-0.49340066
285,建造,-0.32133263,-0.29028913
286,溢流,-0.30716607,-0.42104477
287,物,-0.5233316,-0.6348735
288,幅,-0.098298304,-0.6131854
289,旋回,-0.2699125,-0.39902636
290,古生物,-0.19064519,-0.5153308
291,晶屑,-0.6533344,-0.3263232
292,半自形,-0.39251712,-0.42859852
293,拉组,-0.28346056,-0.58737934
294,粒度,-0.2806034,-0.44379678
295,高山,-0.3626644,-0.7266828
296,铁质,-0.3989338,-0.4393397
297,成因,-0.27555582,-0.5126467
298,涌曲,-0.20828263,-0.6554709
299,高原,-0.37977505,-0.63932806
300,Yb,-0.18027763,-0.5125634
301,灰白色,-0.62534106,-0.34601694
302,冰川,-0.2599864,-0.5336922
303,空间,-0.20868056,-0.55995023
304,大于,-0.3094718,-0.54015934
305,同位素,-0.11087215,-0.5282419
306,南东,-0.022455122,-0.41257727
307,稀土元素,-0.2614118,-0.46726084
308,放射,-0.3845429,-0.47079965
309,产物,-0.26229784,-0.4805056
310,比值,-0.25765336,-0.56074464
311,走向,-0.23980823,-0.5070836
312,主体,-0.1894814,-0.3930255
313,西金,-0.12087649,-0.50630724
314,矿产,-0.2505012,-0.6623839
315,广泛,-0.17837906,-0.46236813
316,岩相,-0.26622653,-0.43803048
317,锆石,-0.3229277,-0.5830405
318,诺日,-0.37227994,-0.6301763
319,扩张,-0.32997942,-0.61563516
320,查涌,-0.003176644,-0.5855519
321,地壳,-0.27629894,-0.5713438
322,双壳,-0.29212397,-0.61665916
323,变为,-0.37631926,-0.5847464
324,多数,-0.28938356,-0.55998236
325,斑状,-0.3073686,-0.29276872
326,侵位,-0.20472103,-0.5265454
327,岭,-0.34110212,-0.70209855
328,二叠纪,-0.18541667,-0.51225877
329,50,-0.27171007,-0.556725
330,⒌,-0.5616577,-0.341988
331,角度,-0.38765234,-0.40634453
332,依据,-0.13220155,-0.40306222
333,植物,-0.23655687,-0.589891
334,物质,-0.21244293,-0.42513558
335,综合,-0.22908452,-0.49404672
336,上述,-0.23768485,-0.37370908
337,分别,-0.28340197,-0.51546544
338,Ma,-0.18214726,-0.56842804
339,东经,-0.3064945,-0.8059134
340,元古代,-0.21454555,-0.5219749
341,本区,-0.23105203,-0.5500667
342,北纬,-0.23137149,-0.6574051
343,REE,-0.2634915,-0.42389804
344,复杂,-0.13883491,-0.32919127
345,层位,-0.23811443,-0.44478634
346,地表,-0.2941974,-0.4857435
347,30,-0.25497007,-0.49051124
348,杂多群,-0.23007713,-0.37429488
349,重结晶,-0.46452045,-0.6248983
350,斜长,-0.40220574,-0.39267823
351,事件,-0.18312317,-0.36179852
352,下部,-0.34613112,-0.36290574
353,对比,-0.1343605,-0.40751788
354,上部,-0.3962379,-0.4016671
355,大量,-0.2782864,-0.55180514
356,Chl,-0.17856564,-0.42434412
357,HREE,-0.10952998,-0.34701255
358,条纹,-0.34301382,-0.36458555
359,范围,-0.21775407,-0.3841484
360,景观,-0.1805287,-0.5083137
361,洋盆,-0.23163104,-0.47239596
362,角砾岩,-0.56589544,-0.33414087
363,LREE,-0.16895545,-0.42513913
364,透镜状,-0.2391287,-0.37877306
365,逐渐,-0.2967082,-0.5059295
366,粒径,-0.23754531,-0.38353693
367,喜山期,-0.2872671,-0.46205452
368,遥感,-0.20334034,-0.55465555
369,九十,-0.3716287,-0.5983285
370,早中,-0.15411353,-0.5731033
371,班组,-0.39260527,-0.51901364
372,红色,-0.65698564,-0.4499274
373,子曲,-0.22227864,-0.5580864
374,之上,-0.27922225,-0.41892576
375,中厚,-0.77652466,-0.23575433
376,微晶,-0.47809327,-0.32072142
377,铅,-0.30155584,-0.61110705
378,Ser,-0.07750664,-0.2812605
379,La,-0.16280918,-0.38063958
380,边缘,-0.12615588,-0.4294449
381,SunetYe,-0.35666546,-0.6577961
382,假象,-0.2643627,-0.41810074
383,Ba,-0.29764548,-0.58106965
384,普通,-0.33976132,-0.4549498
385,夹层,-0.25753364,-0.2621896
386,平行,-0.40812558,-0.36100203
387,石炭世,-0.22095506,-0.4352958
388,丰富,-0.1507426,-0.4515347
389,巴颜喀拉,-0.12529497,-0.37668437
390,确定,-0.18256406,-0.42290768
391,抬升,-0.24158475,-0.5313558
392,定向,-0.24308531,-0.36030382
393,Ⅷ,-0.19838737,-0.46989536
394,覆盖,-0.23305973,-0.3848626
395,片状,-0.17376861,-0.23777959
396,挤压,-0.32399762,-0.48789254
397,Rb,-0.25902253,-0.5768866
398,野外,-0.26651654,-0.5061374
399,隆升,-0.24170794,-0.50220025
400,珊瑚,-0.18495798,-0.50583
401,该期,-0.21668014,-0.41226852
402,暗色,-0.3421282,-0.36558348
403,获得,-0.18563472,-0.5735729
404,界线,-0.2543809,-0.36355373
405,Bit,-0.23921397,-0.525973
406,劈理,-0.20130269,-0.3871984
407,N,-0.19987795,-0.3855898
408,碳酸盐,-0.3000162,-0.34819815
409,延伸,-0.1727405,-0.42232406
410,玉树,-0.14585467,-0.4760888
411,群甲丕拉组,-0.16085799,-0.43078345
412,铕,-0.16689394,-0.4042581
413,南,-0.22974269,-0.46559858
414,钠长石,-0.34264278,-0.48201752
415,建立,-0.15396649,-0.41470054
416,弱,-0.20101018,-0.37591317
417,组分,-0.19269681,-0.45873836
418,燕山,-0.15242456,-0.32371232
419,⒍,-0.42586085,-0.37397102
420,Ep,-0.21515574,-0.4500025
421,新生代,-0.1394837,-0.3836923
422,矿点,-0.20547205,-0.46016377
423,透镜,-0.34066308,-0.3260338
424,稳定,-0.21326372,-0.3079199
425,数据,-0.26772422,-0.52437663
426,结晶,-0.32636914,-0.4038697
427,眼球,-0.35889903,-0.39848557
428,95,-0.31464276,-0.6595065
429,沉积环境,-0.24056797,-0.35491607
430,其上,-0.1455408,-0.3342212
431,岩中,-0.27114832,-0.45318344
432,核部,-0.27757376,-0.33081445
433,浅海,-0.28755662,-0.44209749
434,Cal,-0.2449263,-0.4432563
435,各类,-0.18291272,-0.5039285
436,英安岩,-0.492662,-0.25224683
437,路线,-0.20301425,-0.34213397
438,金属,-0.2819861,-0.4654885
439,泥晶,-0.548823,-0.22559181
440,钼,-0.2410968,-0.5747966
441,总量,-0.16194355,-0.46733496
442,脉,-0.29452506,-0.44955727
443,Cr,-0.26983213,-0.45250833
444,CaO,-0.16538745,-0.462912
445,Th,-0.23353097,-0.5156953
446,高程,-0.1360394,-0.24218619
447,常见,-0.2147692,-0.37793255
448,Ar,-0.25913146,-0.5497838
449,俯冲,-0.1884354,-0.5150088
450,中粒,-0.6586394,-0.29056063
451,原岩,-0.21063031,-0.21638656
452,机制,-0.20553951,-0.40640932
453,地带,-0.25522387,-0.47384134
454,时期,-0.24489734,-0.49657893
455,使,-0.27362362,-0.42066568
456,土,-0.26151213,-0.46396428
457,透辉石,-0.3192811,-0.37328023
458,水系,-0.33229822,-0.59536046
459,Y,-0.21180959,-0.4850904
460,TiO2,-0.24210277,-0.4536776
461,原始,-0.25517735,-0.36847284
462,闪,-0.33487904,-0.4837619
463,陆缘,-0.17020695,-0.37180835
464,特提斯,-0.30724567,-0.63845736
465,石炭纪,-0.14831574,-0.48897824
466,图象,-0.26611942,-0.5834651
467,低于,-0.19517592,-0.41178995
